Semestre,Clave,Asignatura,Link
4,AL401,analisis matematico,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/4/Analisis-Matematico.pdf
4,AL402,teoria de conjuntos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/4/Teoria-Conjuntos.pdf
4,AL403,metodos numericos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/4/Metodos-Numericos.pdf
4,AL404,ecuaciones dinamicas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/4/Ecuaciones-dinamicas.pdf
4,AL405,modelos estocasticos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/4/Modelos-Estocasticos.pdf
4,AL406,etica y responsabilidad social,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/4/Etica-resp-soc.pdf
5,AL501,teoria de la medida en finanzas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/5/Teoria-Medida-Finanzas.pdf
5,AL502,algebra abstracta,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/5/Algebra-Abstracta.pdf
5,AL503,optimizacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/5/Optimizacion.pdf
5,AL504,fundamentos de inteligencia artificial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/5/Fundamentos-Inteligencia-Artificial.pdf
5,AL505,modelos estadisticos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/5/Modelos-Estadisticos.pdf
6,AL601,negociacion de activos financieros,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/6/Negociacion-Activos-Financieros.pdf
6,AL602,teoria de control discreto,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/6/Teoria-Control-Discreto.pdf
6,AL603,teoria computacional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/6/Teoria-Computacional.pdf
7,AL701,modelado de precios en tiempo discreto,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/7/Modelado-precios-tiempo-discreto.pdf
7,AL702,trabajo terminal i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/7/Trabajo-Terminal-I.pdf
8,AL801,modelado de precios en tiempo continuo,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/8/Modelado-tiempo-continuo.pdf
8,AL802,trabajo terminal ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/8/Trabajo-Terminal-II.pdf
8,AL803,practica profesional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/8/Practica-Profesional.pdf
8,AL804,emprendimiento,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/tronco-comun/8/Emprendimiento.pdf
9,AL901,topologia algoritmica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Topologia-Algorítmica.pdf
9,AL902,criptologia,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Criptologia.pdf
9,AL903,aprendizaje de maquina estadistico,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Aprendizaje-Maquina-Estadistico.pdf
9,AL904,teoria del riesgo,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Teoria-Riesgo.pdf
9,AL905,teoria de la informacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Teoria-Informacion.pdf
9,AL906,analisis complejo,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Analisis-Complejo.pdf
10,AL1001,computo de alto desempeno,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Computo-alto-desempeno.pdf
10,AL1002,geometria algoritmica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Geometria-Algoritmica.pdf
10,AL1003,aprendizaje profundo,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Aprendizaje-Profundo.pdf
10,AL1004,computo en la nube,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Computo-nube.pdf
10,AL1005,fisica computacional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Fisica-Computacional.pdf
10,AL1006,biologia computacional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Biologia-Computacional.pdf
10,AL1007,matrices aleatorias ,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Matrices-Aleatorias.pdf
10,AL1008,administracion de riesgos financieros,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Administracion-Riesgos-Financieros.pdf
10,AL1009,teoria de juegos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Teoría-Juegos.pdf
10,AL1010,seguridad digital,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Seguridad-Digital.pdf
10,AL1011,desarrollo aplicaciones moviles web,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Desarrollo-Aplicaciones-Moviles-Web.pdf
1,M101,sociedad y conocimiento,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Sociedad_y_Conocimiento.pdf
1,M102,calculo i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Calculo_I.pdf
1,M103,algebra i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Algebra_I.pdf
1,M104,geometria analitica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Geometria_Analitica.pdf
1,M105,informatica basica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Informatica.pdf
2,M206,introduccion a la ingenieria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Introduccion_a_la_Ingenieria.pdf
2,M207,calculo ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Calculo_II.pdf
2,M208,algebra ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Algebra_II.pdf
2,M209,matematicas discretas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Matematicas_Discretas.pdf
2,M210,programacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Programacion.pdf
3,M311,economia,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Economia.pdf
3,M312,calculo iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Calculo_III.pdf
3,M313,algebra iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Algebra_III.pdf
3,M314,ecuaciones diferenciales ordinarias i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Ecuaciones_Diferenciales_Ordinarias_I.pdf
3,M315,metodos numericos i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Metodos_Numericos_I.pdf
4,M416,ingenieria economica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Ingenieria_Economica.pdf
4,M417,fisica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Fisica_I.pdf
4,M418,optimizacion lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Optimizacion_Lineal.pdf
4,M419,ecuaciones diferenciales ordinarias ii: teoria y metodos numericos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Ecuaciones_Diferenciales_Ordinarias_II.pdf
4,M420,metodos numericos ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Metodos_Numericos_II.pdf
5,M521,formulacion y evaluacion de proyectos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Formulacion_y_Evaluacion_de_Proyectos.pdf
5,M522,fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Fisica_II.pdf
5,M523,analisis matematico,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Analisis_Matematico.pdf
5,M524,ecuaciones diferenciales parciales i: teoria y metodos numericos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Ecuaciones_Diferenciales_Parciales_I.pdf
5,M525,probabilidad,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Probabilidad.pdf
6,M626,ingenieria industrial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Ingenieria_Industrial.pdf
6,M627,finanzas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Finanzas.pdf
6,M628,analisis de decisiones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Analisis_de_Decisiones.pdf
6,M629,optimizacion no lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Optimizacion_No_Lineal.pdf
6,M630,ecuaciones diferenciales parciales ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Ecuaciones_Diferenciales_Parciales_II.pdf
6,M631,fisica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Fisica_III.pdf
6,M632,estadistica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Estadistica.pdf
7,M733,administracion de la produccion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Administracion_de_la_Produccion.pdf
7,M734,sistemas financieros y comerciales,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Sistemas_Financieros_y_Comerciales.pdf
7,M735,econometria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Econometria.pdf
7,M736,investigacion de operaciones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Investigacion_de_Operaciones.pdf
7,M737,simulacion i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Simulacion_I.pdf
7,M738,estadistica avanzada,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Estadistica_Avanzada.pdf
7,M739,procesos estocasticos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Procesos_Estocasticos.pdf
8,M840,ingenieria de calidad y reingenieria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Ingenieria_de_Calidad_y_Reingenieria.pdf
8,M841,ingenieria financiera,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Ingenieria_Financiera.pdf
8,M842,seminario de titulacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Seminario_para_la_Titulacion.pdf
8,M843,seminario de modelacion industrial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Seminario_de_Modelacion_Industrial.pdf
8,M844,seminario de modelacion financiera,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Seminario_de_Modelacion_Financiera.pdf
8,M845,simulacion ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Simulacion_II.pdf
8,M846,sistema de calidad,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Sistemas_de_Calidad.pdf
1,LFM101,calculo i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Calculo_I.pdf
1,LFM102,algebra i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Algebra_I.pdf
1,LFM103,geometria analitica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Geometria_Analitica.pdf
1,LFM104,fisica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Fisica_I.pdf
1,LFM994,laboratorio fisica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Laboratorio_de_Fisica_I.pdf
2,LFM205,calculo ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Calculo_II.pdf
2,LFM206,ecuaciones diferenciales,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Ecuaciones_Diferenciales.pdf
2,LFM207,algebra ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Algebra_II.pdf
2,LFM208,fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Fisica_II.pdf
2,LFM209,analisis vectorial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Analisis_Vectorial.pdf
2,LFM995,laboratorio fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Laboratorio_de_Fisica_II.pdf
3,LFM310,calculo iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Calculo_III.pdf
3,LFM311,algebra iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Algebra_III.pdf
3,LFM312,op geometria proyectiva,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Geometria_Proyectiva.pdf
3,LFM313,op programacion i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Programacion_I.pdf
3,LFM314,fisica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Fisica_III.pdf
3,LFM996,laboratorio fisica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Laboratorio_de_Fisica_III.pdf
4,LFM415,calculo iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Calculo_IV.pdf
4,LFM416,algebra iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/4/Algebra_IV.pdf
4,LFM417,programacion ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Programacion_II.pdf
4,LFM418,fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Fisica_IV.pdf
4,LFM419,introduccion a metodos matematicos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Introduccion_a_Metodos_Matematicos.pdf
4,LFM420,circuitos electricos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/4/Circuitos_electricos.pdf
4,LFM991,laboratorio fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/4/Laboratorio_de_Fisica_IV.pdf
5,LFM501,analisis matematico i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Analisis_Matematico_I.pdf
5,LFM502,algebra moderna i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Algebra_Moderna_I.pdf
5,LFM503,op geometria diferencial i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Geometria_Diferencial_I.pdf
5,LFM504,op lenguaje ensamblador,None
5,LFM505,op probabilidad i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Probabilidad_I.pdf
5,LFM506,op metodos numericos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Metodos_Numericos.pdf
5,LFM507,op curso especial,None
5,LFM508,op curso especial,None
5,LFM542,fisica teorica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Fisica_Teorica.pdf
5,LFM543,introduccion a fisica moderna,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Introduccion_a_la_Fisica_Moderna.pdf
5,LFM544,metodos matematicos i,None
5,LFM545,laboratorio i,None
5,LFM546,op curso especial,None
5,LFM547,op curso especial,None
5,LFM572,analisis,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Analisis.pdf
5,LFM573,op algebra y geometria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Algebra_y_Geometria.pdf
5,LFM574,didactica general,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Didactica_General.pdf
5,LFM575,historia de las matematicas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Historia_de_las_Matematicas.pdf
5,LFM590,introduccion a la ingenieria nuclear,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Introduccion_a_la_Ingenieria_Nuclear.pdf
6,LFM601,analisis matematico ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Analisis_Matematico_II.pdf
6,LFM602,op introduccion a funciones de variable compleja,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Introduccion_a_Funciones_de_Variable_Compleja_I.pdf
6,LFM603,op algebra moderna ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Algebra_Moderna_II.pdf
6,LFM604,op geometria diferencial ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Geometria-Diferencial-II.pdf
6,LFM605,op introduccion a sistemas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Introduccion_a_Sistemas.pdf
6,LFM606,op programacion lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Programacion_Lineal.pdf
6,LFM607,op probabilidad ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Probabilidad_II.pdf
6,LFM608,op analisis numerico i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Analisis_Numerico_I.pdf
6,LFM617,op curso especial,None
6,LFM618,op curso especial,None
6,LFM644,op metodos matematicos i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Metodos_Matematicos_I.pdf
6,LFM645,op laboratorio i,None
6,LFM648,fisica teorica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/6/Fisica_Teorica_II.pdf
6,LFM649,mecanica cuantica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Mecanica_Cuantica_I.pdf
6,LFM650,op metodos matematicos ii,None
6,LFM651,op electronica funcional i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Electronica_Funcional_I.pdf
6,LFM652,op laboratorio ii,None
6,LFM653,op curso especial,None
6,LFM654,op curso especial,None
6,LFM659,op laboratorio iii,None
6,LFM668,op laboratorio iv,None
6,LFM676,op topicos en ecuaciones diferenciales i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Topicos_de_Ecuaciones_Diferenciales_I.pdf
6,LFM677,op geometria i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Geometria_I.pdf
6,LFM678,probabilidad y estadistica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Probabilidad_y_Estadistica_I.pdf
6,LFM679,taller pedagogico i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Taller_Pedagogico_I.pdf
6,LFM691,termodinamica de ciclos de potencia,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Termodinamica_de_Ciclos_de_Potencia.pdf
6,LFM692,transferencia de calor,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Transferencia_de_Calor.pdf
7,LFM719,op analisis matematico iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Analisis_Matematico_III.pdf
7,LFM720,op funciones de variable compleja i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Funciones_de_Variable_Compleja_I.pdf
7,LFM721,op teoria de ecuaciones diferenciales i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Teoria-Ecuaciones-Diferenciales-I.pdf
7,LFM722,op algebra moderna iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Algebra_Moderna_III.pdf
7,LFM723,op geometria diferencial iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Geometria_Diferencial_III.pdf
7,LFM724,op topologia i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Topologia_I.pdf
7,LFM725,op fundamentos de computacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/FUNDAMENTOS_DE_COMPUTACIÓN.pdf
7,LFM726,op investigacion de operaciones i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Investigacion_de_Operaciones_I.pdf
7,LFM727,op estadistica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Estadistica_I.pdf
7,LFM728,op analisis numerico ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Analisis_Numerico_II.pdf
7,LFM729,op curso especial,None
7,LFM730,op curso especial,None
7,LFM745,op laboratorio i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_I.pdf
7,LFM750,op metodos matematicos ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Metodos_Matematicos_II.pdf
7,LFM752,op laboratorio ii,None
7,LFM755,fisica teorica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Fisica_Teorica_III.pdf
7,LFM756,mecanica cuantica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Mecanica_Cuantica_II.pdf
7,LFM757,op introduccion a fisica del estado solido,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Introduccion_a_la_Fisica_del_Estado_Solido.pdf
7,LFM758,op electronica funcional ii,None
7,LFM759,op laboratorio iii,None
7,LFM760,op teoria del control i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Teoria_del_Control_I.pdf
7,LFM761,op curso especial,None
7,LFM762,op curso especial,None
7,LFM768,op laboratorio iv,None
7,LFM780,op topicos en ecuaciones diferenciales ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Topicos_de_Ecuaciones_Diferenciales_II.pdf
7,LFM781,op geometria ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/GEOMETRIA_II.pdf
7,LFM782,op probabilidad y estadistica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Probabilidad_y_Estadistica_II.pdf
7,LFM783,taller pedagogico ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Taller_Pedagogico_II.pdf
7,LFM784,op seminario de la problematica educativa nacional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Seminario_de_la_Problematica_Educativa_Nacional.pdf
7,LFM785,filosofia de la ciencia i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Filosofia_de_la_Ciencia_I.pdf
7,LFM793,ingenieria nuclear i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Ingeneiria_Nuclear_I.pdf
7,LFM794,teoria de reactores nucleares i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Teoria_de_Reactores_Nucleares_I.pdf
8,LFM831,op analisis matematico iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Analisis_Matematico_IV.pdf
8,LFM832,op funciones de variable compleja ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Funciones_de_Varaible_Compleja_II.pdf
8,LFM833,op teoria de ecuaciones diferenciales ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Teoria_de_Ecuaciones_Diferenciales_II.pdf
